month,oil_price,demand_ns,demand_gom
1,68.72,1.16,1.7
2,71.38,1.24,1.82
3,80.74,1.52,2.23
4,82.73,1.58,2.32
5,87.43,1.72,2.53
6,80.33,1.51,2.21
7,83.87,1.62,2.37
8,81.05,1.53,2.25
9,73.47,1.16,1.7
10,71.71,1.24,1.82
11,78.12,1.52,2.23
12,75.29,1.58,2.32
13,84.75,1.72,2.53
14,82.23,1.51,2.21
15,76.79,1.62,2.37
16,77.1,1.53,2.25
17,74.0,1.3,1.91
18,72.89,1.25,1.84
19,66.69,1.44,2.12
20,65.74,1.36,1.99
21,58.26,1.64,2.41
22,56.01,1.57,2.3
23,59.47,1.4,2.06
24,72.43,1.41,2.07
25,71.9,1.32,1.94
26,74.36,1.29,1.89
27,81.59,1.1,1.61
28,82.77,1.07,1.57
29,76.55,0.85,1.24
30,83.92,0.78,1.14
31,79.97,0.88,1.3
32,79.91,1.27,1.87
33,74.84,1.26,1.84
34,71.86,1.33,1.95
35,67.79,1.55,2.27
36,71.8,1.58,2.32
